domain,n_zho_captures_capped,n_captures_capped,has_chinese_presence,n_register_entities,register_entities,jurisdiction,sample_zho_url
littlebee.sc,0,0,0,1,Littlebee Securities Ltd,Seychelles,
ltdphoenix.com,0,2,0,1,Phoenix Limited,Seychelles,
m4markets.com,60,595,1,1,Trinota Markets (Global) Limited,Seychelles,https://m4markets.com/zh-hans/
macromarkets.sc,0,0,0,1,MACRO MARKETS SOLUTIONS LTD,Seychelles,
marketsvox.com,0,112,0,1,MarketsVox (SC) Ltd,Seychelles,
mecomarkets.com,0,4,0,1,Meco Markets Limited,Seychelles,
merj.exchange,0,109,0,3,MERJ Exchange Limited | MERJ Depository and Registry Limited | MERJ Clearing and Settlement Limited,Seychelles,
mex-d.com,0,0,0,1,MB Group (Seychelles) Ltd,Seychelles,
miltonprime.com,0,29,0,1,MILTON GLOBAL LTD,Seychelles,
modmountltd.com,0,0,0,1,Modmount Services Limited,Seychelles,
monetamarkets.sc,0,0,0,1,Moneta Markets Ltd,Seychelles,
myfx.group,0,23,0,1,MYFX GROUP LIMITED,Seychelles,
nce.sc,0,1,0,1,NCE SC LIMITED,Seychelles,
neromarkets.com,0,0,0,1,Nero Capital LTD,Seychelles,
nexo-markets.com,0,0,0,1,Nexo Markets Ltd,Seychelles,
nextmarkets.global,0,2,0,1,Nextmarkets International Ltd,Seychelles,
niubroker.com,0,0,0,1,Niu Limited,Seychelles,
noorcapital.sc,0,28,0,1,Noor Capital Limited,Seychelles,
nordfx.sc,0,3,0,1,MAXIMUS GLOBAL LIMITED,Seychelles,
novapartnersltd.com,0,0,0,1,Nova Partners Limited,Seychelles,
nuvegacapital.com,0,0,0,1,Nuvega Limited,Seychelles,
onequity.com,0,112,0,1,OnEquity Ltd,Seychelles,
onyskapital.com,0,2,0,1,Onys Kapital Ltd,Seychelles,
opalx.com,0,0,0,1,Opal Markets Ltd,Seychelles,
opofinance.com,0,250,0,1,Opo Group Ltd,Seychelles,
oqtima.com,0,6,0,1,OQTIMA INT. LTD,Seychelles,
orbex.com,0,10,0,1,Orbex Limited,Seychelles,
pepperstone.com,200,1000,1,1,Pepperstone International Markets Limited,Seychelles,https://pepperstone.com/zh/
pkf.sc,0,0,0,1,PKF Capital Markets (Seychelles) Limited,Seychelles,
plotiofx.com.sc,0,0,0,1,PLOTIO FX SC LIMITED,Seychelles,
plus500.com.sc,0,0,0,1,Plus500SEY Ltd,Seychelles,
pocket-trader.com,0,0,0,1,Pocket Trader (Seychelles) Limited,Seychelles,
puprime.com,0,4,0,1,PU Prime Limited,Seychelles,
purple-trading.sc,0,10,0,1,AXSE Brokerage Ltd,Seychelles,
qdme.net,0,0,0,1,Camel International Limited,Seychelles,
quantixfs.com,0,1,0,1,Quantix FS Ltd,Seychelles,
