domain,named_operator,n_pages,sentence,example_url
fusionmarkets.com,FMGP Trading Group Pty Ltd (ABN 74 146 086 017) and is regulated by ASIC and lic,8,Australian Clients Only: Fusion Markets is a trading name of FMGP Trading Group Pty Ltd (ABN 74 146 086 017) and is regulated by ASIC and licensed to carry on a financial services,https://fusionmarkets.com/zh/About-us/ID-documentation
fxcentrum.com,WTG Ltd.,39,FXCentrum 是 WTG Ltd. 的注册商标，持有 FSA 颁发的许可证号 SD055,https://zh-cn.fxcentrum.com/
icmarkets.sc,Raw Trading Ltd,7,IC 及 IC Markets Global 为 Raw Trading Ltd 的交易名称,https://www.icmarkets.sc/cn/company/legal-documents
xs.com,XS集团,40,XS和XS.com是XS集团的注册商标,https://www.xs.com/zh-Hans/blog/
zfx.com,Zeal Capital Market（Seychelles）Limited,40,ZFX 和 Traze 为 Zeal Capital Market（Seychelles）Limited 经批准使用的交易名称,https://www.zfx.com/zh-hans/%E8%AE%A2%E5%8D%95%E6%89%A7%E8%A1%8C%E6%94%BF%E7%AD%96/
